slug,name,city,province,website,address
morrison-trading-post-airdrie,Morrison Trading Post,Airdrie,AB,https://morrisontradingpost.com/,"2903 Kingsview Blvd SE #202, Airdrie, AB T4A 0C4"
snap-collectables-airdrie,Snap! Collectables,Airdrie,AB,http://www.snapcollectables.com/,"224B Main St N, Airdrie, AB T4B 0R6"
treasure-cove-comics-collectables-airdrie,Treasure Cove Comics & Collectables,Airdrie,AB,http://www.treasurecoveltd.ca/,"118 1 Ave NE, Airdrie, AB T4B 0R6"
overtime-sports-cards-grading-balzac,Overtime Sports Cards & Grading,Balzac,AB,https://www.overtimesportscards.ca/,"260300 Writing Creek Cres, Balzac, AB T0M 0E0"
lakeland-sports-cards-bonnyville,Lakeland Sports Cards,Bonnyville,AB,https://lakelandsportscards.com/,"50 St, Bonnyville, AB T9N 2G3"
andys-sports-cards-and-collectibles-calgary,Andys Sports Cards and Collectibles,Calgary,AB,http://andyssportscards.ca/,"10093 Hidden Valley Dr NW, Calgary, AB T3A 5Z7"
celly-sports-games-calgary,Celly Sports & Games,Calgary,AB,http://www.cellysports.com/,"5330 72 Ave SE #131, Calgary, AB T2C 4S7"
collectors-books-cards-calgary,Collectors Books & Cards,Calgary,AB,http://collectorsbooksandcards.ca/,"7220-A Fairmount Dr SE, Calgary, AB T2H 0X7"
eastridge-sports-cards-games-calgary,Eastridge Sports Cards & Games,Calgary,AB,http://www.ersportscards.ca/,"7132 Fisher St SE, Calgary, AB T2H 0W5"
maple-leaf-sports-calgary,Maple Leaf Sports,Calgary,AB,http://www.mapleleafsports.ca/,"2400 Centre Street Northeast #4, Calgary, AB T2E 2T9"
olympic-sports-cards-and-games-calgary,Olympic Sports Cards and Games,Calgary,AB,http://www.olympicsportscardsandgames.com/,"180 94 Ave SE, Calgary, AB T2J 3G8"
sentry-box-cards-calgary,Sentry Box Cards,Calgary,AB,http://sentryboxcards.com/,"1835B 10 Ave SW, Calgary, AB T3C 0K2"
anime-hypercubed-camrose,Anime Hypercubed,Camrose,AB,,"5019 46 St, Camrose, AB T4V 3G3"
battle-river-sports-excellence-camrose,Battle River Sports Excellence,Camrose,AB,http://www.battleriversports.com/,"6120 48 Ave, Camrose, AB T4V 0K5"
camrosenextgen-gaming-camrose,CamroseNextGen Gaming,Camrose,AB,https://sites.google.com/view/camrosenextgengaming/home,"5005 46 St, Camrose, AB T4V 3G3"
holler-collectibles-camrose,Holler Collectibles,Camrose,AB,https://holler-computer-services-and-collectibles.square.site/s/shop,"5016D 52a St, Camrose, AB T4V 1W8"
quantum-comics-collectibles-camrose,Quantum Comics & Collectibles,Camrose,AB,http://www.quantumcomics.ca/,"4939 49 St, Camrose, AB T4V 1N3"
retro-camrose,Retro,Camrose,AB,https://play-here.ca/,"5017 51 St, Camrose, AB T4V 1S6"
the-data-base-camrose-camrose,The Data Base Camrose,Camrose,AB,http://www.thedatabasecamrose.ca/,"5005 46 St, Camrose, AB T4V 3G3"
the-memorabilia-shop-chestermere,The Memorabilia Shop,Chestermere,AB,,"210 Springmere Close, Chestermere, AB T1X 1K1"
arkane-angel-cold-lake,Arkane Angel,Cold Lake,AB,https://www.arkane-angel.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3851568251012994274,"5123 50 Ave, Cold Lake, AB T9M 2A6"
cool-pool-cards-cold-lake,Cool Pool Cards,Cold Lake,AB,,"5107 50 Ave, Cold Lake, AB T9M 1P4"
203-collectibles-ltd-edmonton,203 Collectibles LTD.,Edmonton,AB,https://www.203collectibles.com/,"2331 66 St NW Unit 312, Edmonton, AB T6K 4B5"
capital-city-cards-collectibles-edmonton,Capital City Cards & Collectibles,Edmonton,AB,https://www.instagram.com/capitalcitycardsyeg/?hl=en,"12011 111 Ave NW, Edmonton, AB T5G 0E7"
common-box-games-edmonton,Common Box Games,Edmonton,AB,https://commonboxgames.com/,"8932 118 Ave NW, Edmonton, AB T5B 0T6"
dave-s-card-shop-edmonton,Dave's Card Shop,Edmonton,AB,http://davescardshop.ca/,"15734 100 Ave NW, Edmonton, AB T5P 0L1"
eclipse-games-edmonton,Eclipse Games,Edmonton,AB,https://eclipsegames.ca/,"252 91 St SW, Edmonton, AB T6X 0V1"
froggers-house-of-cards-and-autograph-gallery-edmonton,Froggers House of Cards and Autograph Gallery,Edmonton,AB,https://froggerscards.com/,"15521 118 Ave NW, Edmonton, AB T5V 1C5"
icons-and-heroes-edmonton,Icons and Heroes,Edmonton,AB,https://iconsandheroes.ca/,"Storefront #1776 WEM, Lower Level, 8882 170 St NW Unit N 106, entrance - 8, Edmonton, AB T5T 4J2"
prisma-games-edmonton,Prisma Games,Edmonton,AB,http://www.prismatcg.com/,"9919 48 Ave NW, Edmonton, AB T6E 5H5"
taps-games-edmonton,Taps Games,Edmonton,AB,http://www.tapsgames.com/,"2854 Calgary Trl NW, Edmonton, AB T6J 6V7"
the-card-goat-edmonton,The Card Goat,Edmonton,AB,http://thecardgoat.ca/,"9704 39 Ave NW #116, Edmonton, AB T6E 6M7"
wayne-s-sports-cards-and-collectibles-edmonton,WAYNE'S SPORTS CARDS AND COLLECTIBLES,Edmonton,AB,,"17020 90 Ave NW, Edmonton, AB T5T 1L6"
wayne-s-sports-cards-collectibles-edmonton,Wayne's Sports Cards & Collectibles,Edmonton,AB,http://www.waynessportscards.com/,"17020 90 Ave NW, Edmonton, AB T5T 1L6"
west-s-sports-cards-collectibles-edmonton,West's Sports Cards & Collectibles,Edmonton,AB,,"7910 118 Ave NW, Edmonton, AB T5B 0R6"
west-s-sports-cards-edmonton,West's Sports Cards,Edmonton,AB,https://www.westssportscards.com/,"7910 118 Ave NW, Edmonton, AB T5B 2L1"
yeg-nhlhockeystickers-com-edmonton,YEG NHLHockeyStickers.Com,Edmonton,AB,http://www.nhlhockeystickers.com/,"10323 78 Ave NW, Edmonton, AB T6E 1N8"
all-in-sports-den-fort-mcmurray,All In Sports Den,Fort McMurray,AB,,"8324 Franklin Ave, Fort McMurray, AB T9H 4Y9"
galactic-trading-post-fort-mcmurray,Galactic Trading Post,Fort McMurray,AB,https://galactictp.com/,"8233 Manning Ave Unit 105, Fort McMurray, AB T9H 1X8"
tactical-magic-games-inc-fort-mcmurray,Tactical Magic Games Inc,Fort McMurray,AB,https://facebook.com/tacticalmagicgames,"213 Timberline Dr #2, Fort McMurray, AB T9K 1S1"
the-fort-gaming-collectibles-board-games-card-fort-saskatchewan,THE FORT Gaming & Collectibles (board games & card ...,Fort Saskatchewan,AB,,"10303 100 Ave Unit 2, Fort Saskatchewan, AB T8L 1Y9"
strange-ideas-comics-and-collectibles-grande-prairie,Strange Ideas Comics and Collectibles,Grande Prairie,AB,https://www.strangeideascomics.ca/,"11601 99 St, Grande Prairie, AB T8V 6Z1"
toyz-game-emporium-inc-grande-prairie,Toyz Game Emporium Inc,Grande Prairie,AB,https://www.facebook.com/toyzgame/,"11012 100 St #107, Grande Prairie, AB T8V 2N1"
wonderland-games-grande-prairie,Wonderland Games,Grande Prairie,AB,,"10032 100 Ave., Grande Prairie, AB T8V 0V3"
evolution-sports-excellence-leduc,Evolution Sports Excellence,Leduc,AB,https://evolutionsportsexcellence.com/,"5205 50th Ave #4, Leduc, AB T9E 6T2"
the-hobby-spot-leduc-quarantined-case-breaks-leduc,The Hobby Spot Leduc & Quarantined Case Breaks,Leduc,AB,http://www.thehobbyspot.ca/,"6201 50 St #4, Leduc, AB T9E 7A8"
bingham-s-sports-cards-lethbridge,Bingham's Sports Cards,Lethbridge,AB,,"CENTRE VILLAGE MALL, 1240 2A Ave N, Lethbridge, AB T1H 0E4"
king-arthur-s-collectibles-lethbridge,King Arthur's Collectibles,Lethbridge,AB,https://www.ebay.ca/str/kingarthurscollectiblescanada?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=aZbMmwG3Tr6&sssrc=3418065&ssuid=aZbMmwG3Tr6&widget_ver=artemis&media=COPY,"304 13 St N, Lethbridge, AB T1H 2R8"
personalized-sportcards-lethbridge,Personalized Sportcards,Lethbridge,AB,http://personalizedsportcards.com/,"2938 12 Ave N, Lethbridge, AB T1H 5J9"
pirates-cove-collectibles-ltd-lethbridge,Pirates Cove Collectibles Ltd,Lethbridge,AB,https://www.facebook.com/profile.php?id=100054447371205,"1253 2 Avenue a N, Lethbridge, AB T1H 0E9"
showcase-comics-hobbies-ltd-comics-collectibles-rc-boardgames-lethbridge,"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames",Lethbridge,AB,https://showcasecomics.ca/,"1271 3 Ave S, Lethbridge, AB T1J 0K2"
